CTCF,H3K4me1,EZH2,ATAC,POL2,P300,H3K9me3,H3K4me3,H3K36me3,H3K27ac,Position
1.3031727,6.389085,4.4168253,3.2727377,0.83231217,3.2167163,1.9600606,6.421536,1.345234,3.84111,3.008
0.9296495,3.1975806,2.60415,3.9021053,0.4115052,2.0284746,1.3521525,4.5890064,1.0855453,2.2114727,3.136
0.93794966,5.1851344,2.7042036,7.198502,0.58802724,2.1590352,1.3162607,6.545702,1.022733,3.521928,3.264
1.4993554,9.059951,5.207278,6.865374,1.1518372,3.8899066,2.0580416,8.412817,0.9084937,5.260099,3.392
1.653168,10.354285,5.3473835,7.2098174,1.6083274,4.366513,2.1619434,9.751546,1.0618184,6.8353252,3.52
1.9855828,12.374847,5.8903484,11.011958,1.9553756,4.7516427,2.3508732,11.328429,1.011503,8.615344,3.648
2.4387364,15.06106,6.051709,31.547935,3.0342827,6.701863,2.182751,14.1326685,0.6453522,12.108731,3.776
1.8383565,17.999762,5.9814262,14.815339,2.2534585,4.9313965,2.68022,16.094738,0.85710967,14.011574,3.904
1.782707,19.863571,6.3988395,12.58583,2.218162,5.4732757,2.667418,17.694683,0.77901924,14.548499,4.032
2.9331095,26.605358,7.174152,29.825876,4.4063435,7.421977,3.0422087,24.69354,0.76186955,21.682476,4.16
5.42611,27.707249,7.8432965,49.917397,7.3917937,10.413755,2.8295176,26.46398,0.56251717,24.054697,4.288
6.7259846,27.287374,8.427163,77.34534,9.574445,14.148851,2.541197,27.032166,0.40377966,28.261925,4.416
8.077106,21.424065,5.460303,53.83256,6.906553,9.308081,1.736061,22.504976,0.24758457,21.67034,4.544
11.542828,17.288704,4.5223,99.207695,9.394353,13.479469,0.72526586,20.122837,0.058720365,22.947176,4.672
7.608403,14.6442175,1.4828341,178.70102,7.7365837,14.147811,0.07833992,17.218773,0.0013051766,24.390766,4.8
6.145031,13.094694,2.2050135,89.800255,6.0518894,9.457489,0.36843792,16.734568,0.030676244,18.558418,4.928
4.0975833,13.172006,1.5211836,87.08103,4.3841496,7.8619843,0.31625423,17.007496,0.023293575,17.28629,5.056
200.0,13.87778,1.3974475,57.78147,2.398252,5.34695,0.42142114,17.465788,0.055186052,16.464252,5.184
200.0,19.359392,2.6802492,59.927593,3.1893437,6.205775,0.89967203,22.052664,0.09351077,19.21328,5.312
200.0,29.350235,6.2080135,35.627117,3.9742825,6.915742,2.5181346,28.602394,0.37248632,22.713806,5.44
2.5301769,29.788704,6.4965134,34.92919,3.4246843,6.721471,2.9180565,28.228336,0.5095811,19.75455,5.568
2.7334657,32.53532,7.709981,24.300976,3.3543258,7.0006833,3.4981706,29.529434,0.83620185,20.24257,5.696
2.1520627,30.68194,7.937904,18.41206,3.0096052,6.559535,3.5485237,27.1536,1.1282849,17.184166,5.824
2.5436802,27.03728,7.644189,26.149921,2.9804122,6.90163,3.0916445,24.097364,0.97443795,15.418815,5.952
1.9846314,22.857656,6.5424623,24.260206,2.550001,6.0656257,2.7849038,20.388401,1.200856,12.955639,6.08
1.3332201,20.003607,5.201171,11.592898,1.4199724,4.344123,2.461808,18.71983,1.3855916,11.693791,6.208
0.83316463,12.966513,2.7780619,11.512764,0.6083003,2.5538423,1.4632995,14.035375,1.169484,7.304159,6.336
1.142487,11.162773,3.2365868,11.534009,0.7084559,2.8790214,1.4424777,11.285289,1.0857348,6.519707,6.464
0.8369979,8.118974,3.5854445,4.8443346,0.426254,2.703602,1.4549855,7.1636744,0.9672536,4.015409,6.592
0.83285344,9.152125,3.533785,3.7578964,0.4643475,2.722379,1.4825643,8.326931,1.2420099,4.899876,6.72
0.5244291,4.4003053,1.5791073,9.436858,0.2406078,1.4626392,0.88549703,6.460299,1.2506049,2.5398457,6.848
0.5640358,4.3594584,1.5644944,10.053837,0.24870339,1.5659388,0.8696337,6.703975,1.3602486,2.8804507,6.976
0.7465677,6.0305204,2.6467838,4.9182687,0.37506554,2.0820415,1.2866496,6.172069,1.6999199,3.0775187,7.104
0.65936154,6.4066257,3.3492632,3.126541,0.32439658,2.4373689,1.4079539,5.4517336,1.7527258,3.0152194,7.232
0.8208934,5.793386,3.5816267,4.5843787,0.33478177,2.6632023,1.436425,4.8309374,1.5480919,2.6041014,7.36
2.6238093,6.9269753,3.9857826,13.495035,0.64459145,3.4997277,1.5869608,5.927223,1.7111952,3.4748251,7.488
3.1877391,7.387362,4.0865426,13.987333,0.73670924,3.7442992,1.5982405,6.7099624,1.9498961,3.8560925,7.616
1.6441264,8.838013,4.004301,18.50666,1.1278306,4.1534305,1.7552223,8.712227,2.3084762,5.0616016,7.744
1.6179761,6.7850904,2.9649293,24.08291,0.997174,3.6266494,1.3520933,7.767379,2.0297282,4.454214,7.872
1.0012742,5.7155166,2.6956701,8.928176,0.6643364,2.4275186,1.5309573,6.951872,2.3201501,3.8668234,8.0
1.0622257,5.7522025,3.4577374,10.284363,0.80402714,3.0325704,1.6887572,5.713632,2.2333338,3.695271,8.128
1.1205829,5.6262817,3.4104278,8.748966,0.8574539,3.0593529,1.6641376,5.7733626,2.3777647,3.9546647,8.256
1.2005562,4.939497,3.2324169,6.3159513,0.89542866,2.6891665,1.7885964,5.4726586,2.6735861,3.5363276,8.384
0.26529956,1.055562,0.74859744,5.4407024,0.13742666,0.72224617,0.55254763,3.57879,1.289406,1.2536529,8.512
0.5200589,1.5487206,1.4417309,6.190329,0.2691966,1.289579,0.86156845,3.2950165,1.5345908,1.425818,8.64
1.0246423,4.3787007,3.2421892,4.4292245,0.70189697,2.6512516,1.5357767,4.564032,2.603126,3.4243834,8.768
1.1310799,4.051973,3.4926207,6.063393,0.895826,2.8223357,1.6995605,4.0736976,2.8093383,3.0106454,8.896
1.5924608,5.776468,3.7647061,17.55554,1.6866093,3.6969273,1.9645255,5.6702366,3.1142473,5.1379366,9.024
1.8287572,5.939586,3.6934202,11.907495,1.7399173,3.2357502,2.13949,5.6948733,3.7521129,5.2647214,9.152
1.3132274,5.9284353,3.0633378,14.575788,1.4559783,3.0489712,1.9358588,6.471497,3.3317277,6.1837006,9.28
0.31270248,1.5853132,0.7950164,6.077181,0.22431147,0.82127106,0.64497364,4.0581913,1.7776499,2.1989658,9.408
0.29857185,1.5286666,0.82399267,15.309449,0.20633237,1.3337021,0.51260626,3.9313967,1.2279298,1.9019015,9.536
1.3314884,5.2932973,3.603582,11.004042,1.0615144,3.5651622,1.9034601,5.810139,3.0232334,4.056664,9.664
1.429775,3.9370766,3.558985,13.394466,0.76508147,3.9122245,1.5888623,3.9020824,1.9489267,3.146095,9.792
0.68111116,2.8902621,2.8811276,2.8814113,0.29754612,2.372869,1.2548245,2.426014,1.7542328,2.09502,9.92
0.68674,2.548807,2.574032,4.4251018,0.31106722,2.193027,1.1180769,2.1384623,1.52436,1.9312943,10.048
0.26868984,0.8229398,0.8453332,7.7916255,0.12958668,0.8727312,0.5738579,2.5226543,1.0892702,0.8268242,10.176
0.512713,1.6947783,1.3525777,4.8827577,0.27284643,1.2279577,1.0003425,3.5826247,1.8141997,1.5862896,10.304
1.0723834,3.9402325,3.1058486,3.859497,0.7660863,2.4826934,2.009967,4.607314,3.3293471,2.5508626,10.432
1.0854526,3.518539,2.8729095,4.3412232,0.7638919,2.3366294,1.8755451,4.3804226,3.2731237,2.2056284,10.56
0.5953865,0.6999349,0.9214618,3.814936,0.15455292,0.80147254,0.6858594,2.2969773,1.3542539,0.61284053,10.688
0.5906079,1.5126339,1.497049,3.529141,0.31433874,1.3024068,1.0872582,3.2516258,2.145186,1.3557842,10.816
1.1834588,3.0913775,2.979154,3.3239138,0.8420448,2.3648279,2.006007,3.9488401,3.5237637,2.4259348,10.944
1.0696914,2.1617577,2.375748,4.9267635,0.68499416,2.0531747,1.6227043,3.321655,2.958967,1.7569973,11.072
0.8246567,1.6051327,1.9079281,8.515322,0.48958686,1.934371,1.1738228,2.6842759,2.1859672,1.4265175,11.2
0.8163191,1.6967235,2.6503227,1.6557033,0.3826259,2.2079034,1.3167698,1.8509028,2.6797216,1.2948254,11.328
0.7422347,1.1295414,2.4288208,2.556221,0.26705644,2.1205132,1.0722469,1.2009637,2.046358,0.89508736,11.456
1.0379059,1.5874321,2.9434836,2.0383115,0.2729879,2.489228,1.3231565,1.8159947,1.9149578,1.234261,11.584
0.8714866,1.7183615,2.8931499,2.4644825,0.334004,2.4675684,1.396038,2.2234943,2.406023,1.4644418,11.712
0.818733,1.7187309,2.560101,4.3632016,0.38233358,2.2960796,1.3334968,2.1549046,2.4719381,1.5268974,11.84
0.7383675,1.5808227,2.1102245,2.4380636,0.41100422,1.8680706,1.2481674,2.1996665,2.8020492,1.8722967,11.968
0.52710104,1.3183427,1.357412,7.4871745,0.33014655,1.4001225,0.88187814,2.8887944,2.0261807,1.6597834,12.096
0.43734157,0.98157614,1.0752251,4.449703,0.22366862,1.0264637,0.79577506,2.86341,1.9607965,1.5257144,12.224
1.0906307,3.6238792,3.1375172,3.541501,0.8735081,2.6391273,1.9808701,4.1109304,3.9565225,4.172127,12.352
0.8258847,2.289524,2.111406,5.5040016,0.5729164,1.9614862,1.4947679,3.6713283,2.930171,3.3011189,12.48
0.40856752,1.5787677,1.074791,7.1498466,0.2619126,1.1552751,0.74140143,3.9358525,1.9422739,2.7209208,12.608
1.1986492,2.9365323,2.3503222,12.376556,0.80617654,2.9082663,1.3532554,4.3795004,2.5124369,4.162425,12.736
1.7193788,3.367594,4.1660542,19.066494,1.2430238,6.3493996,1.619018,3.9090703,3.0590382,4.9629235,12.864
1.9210923,3.692754,4.3840165,18.721207,1.4429582,6.9494457,1.6298277,4.1823907,3.162011,5.1661825,12.992
1.758121,3.960313,4.1838226,12.125111,1.3842815,4.8688655,1.7984546,4.25003,3.0622082,5.0136085,13.12
1.4958868,4.3613515,3.9734533,4.950475,1.2226398,3.480654,1.9897738,4.514697,3.6711912,5.555639,13.248
1.5192865,3.5195546,3.9001882,5.645091,1.1214162,3.5260658,1.9748951,3.8571842,3.5551286,4.659496,13.376
1.3403634,2.370255,3.3964238,6.414614,0.8836597,3.2531967,1.5950583,2.938548,3.3004727,3.2128623,13.504
0.96288395,1.8567876,2.9739177,1.9903744,0.4207111,2.4964728,1.3896854,2.32178,2.6655629,2.3961096,13.632
0.9301614,1.4607784,2.5892606,2.2944205,0.5055033,2.1408887,1.3303471,2.0275702,3.038666,1.8928035,13.76
0.8762928,1.0634825,1.9303203,3.4507298,0.4579852,1.7233634,1.1276876,2.130461,2.704492,1.492563,13.888
0.64479727,0.80648845,1.3883731,4.6547346,0.310645,1.3173548,0.79295105,2.0514004,2.1713984,1.1069124,14.016
0.94486594,1.4583185,2.5400894,1.1981477,0.44429654,2.0128336,1.4168226,2.6513073,3.1968453,1.4063319,14.144
0.97960424,1.2026705,2.7291741,1.6320873,0.42292643,2.153716,1.3562841,2.0402915,2.8248198,1.1244308,14.272
0.963697,0.99531054,2.8936217,2.2499871,0.3212318,2.3125167,1.2190366,1.5564305,2.304169,0.8428811,14.4
0.983061,0.7722271,2.6604187,2.7542872,0.33653024,2.240943,1.0571805,1.1856127,2.2254007,0.70376223,14.528
0.84376276,0.74420613,2.5609756,1.7658075,0.26224488,2.0943108,0.99577117,1.1440246,2.1225173,0.6720192,14.656
0.84259456,0.7344318,2.569533,1.7723252,0.28729874,2.0135014,1.0686828,1.0255368,2.2878973,0.5940397,14.784
1.1261038,1.0640175,2.8096192,3.2701232,0.5856004,2.1908996,1.3054487,1.6135936,3.0496686,0.9041501,14.912
1.327207,1.3090086,2.9843452,4.6499767,0.8424047,2.3106716,1.4409256,1.9528667,3.5737805,1.1918011,15.04
1.3146086,1.3168447,2.8833141,3.8587973,0.73993284,2.1979213,1.5453215,2.0697298,3.612063,1.178585,15.168
1.0495735,1.2247326,2.7944672,1.7569784,0.5336908,2.09495,1.3976576,2.0679812,3.5691864,0.95630044,15.296
1.0474789,1.3333677,3.1256218,1.0223587,0.4225836,2.2724433,1.4076446,2.132949,3.259615,0.8920811,15.424
1.183878,1.2758795,3.1320958,1.1555436,0.47645378,2.3312953,1.404531,2.1799514,3.3206282,0.8402465,15.552
1.0545404,1.1861525,3.0463078,0.98263025,0.34259433,2.3102045,1.3085828,2.1918721,2.7349331,0.8278023,15.68
0.88216776,0.80720675,2.5971265,0.7773122,0.2762435,2.104112,1.0910716,1.6992263,2.535987,0.6130264,15.808
0.7032148,0.73944294,2.3682714,0.8234435,0.2350179,1.7673227,1.0130941,1.1806021,2.3156514,0.60987973,15.936
0.6324109,0.4585442,1.5213568,1.5257045,0.23177242,1.31608,0.74753875,0.9967926,1.9760447,0.48064667,16.064
0.8875513,0.6393452,2.1555097,1.6266663,0.35127982,1.8692474,0.97911143,1.1687274,2.5704641,0.64597225,16.192
0.7319976,0.7565644,2.29317,0.7006342,0.2768884,1.7809682,1.0384164,1.307906,2.8313339,0.586858,16.32
0.8135485,0.98579264,2.5410051,1.1589317,0.3466886,1.9079926,1.1771257,1.5034068,3.1025996,0.7670869,16.448
1.5909998,1.0009774,2.4647286,2.472974,0.6643214,1.9637511,1.335978,1.6594839,3.9352891,0.8312232,16.576
2.0940502,1.04625,2.5573928,4.8987365,0.7160317,2.0921812,1.3332129,1.7866158,3.507154,0.8721808,16.704
1.1305096,1.1796018,2.6350853,1.5711194,0.5838639,1.9517132,1.3600155,1.9675803,3.8973646,0.8909976,16.832
0.85396063,1.1202267,2.6615515,0.9698457,0.3859969,1.9686552,1.2770286,2.00308,3.4727778,0.802233,16.96
1.024191,0.9099717,2.4889956,2.4386322,0.4977476,1.9890095,1.1448795,1.758135,3.179006,0.77463365,17.088
1.082859,1.193286,2.6804287,1.8242036,0.5915811,2.0253701,1.352443,2.0750992,3.7143528,0.92270374,17.216
1.2002958,1.192478,2.6955714,1.5921892,0.68491906,2.0583048,1.3783596,2.0362232,3.9217749,0.9482211,17.344
1.1669145,1.0254767,2.5016708,3.6997955,0.7319724,2.0189958,1.2710766,1.7334093,3.6282752,0.9062692,17.472
0.82687145,0.65193945,1.6081059,2.7289758,0.44272524,1.4176041,0.9248531,1.4799317,2.9693038,0.7212848,17.6
0.866943,0.7163766,1.7340068,3.1154869,0.46859342,1.5213019,1.0277638,1.6057901,2.8618772,0.7804351,17.728
0.74866617,0.66985923,1.5383761,2.0588048,0.3649606,1.3478845,0.9164377,1.6479417,2.6757886,0.6774995,17.856
0.9297559,0.9737222,2.4674566,0.96638834,0.46440572,1.9134722,1.2603376,1.8256357,3.413727,0.76523215,17.984
0.9324761,0.74807215,2.0868988,2.251075,0.47142142,1.7454293,1.0771918,1.5546143,3.0332084,0.65891576,18.112
0.9291959,0.80319756,2.6408398,1.024717,0.3696265,2.0743008,1.2220597,1.3057871,2.855082,0.61002636,18.24
0.78092307,0.77412134,2.5055692,1.0267867,0.3148959,1.8539124,1.151833,1.1112883,2.806881,0.5400933,18.368
0.9573052,0.9147525,2.5691237,1.4668391,0.43576363,2.0313888,1.3024004,1.5920653,3.1528907,0.71569234,18.496
0.49474132,0.48169494,1.0976728,1.5005724,0.20343457,0.9736487,0.67608577,1.5625032,2.0512404,0.48285922,18.624
0.19232334,0.18874282,0.37146467,1.6008551,0.08226806,0.38101456,0.3042814,1.2265408,1.0754255,0.28430545,18.752
0.39373723,0.3591326,1.03271,1.5248518,0.15066843,0.9172134,0.5809356,0.97352195,1.5342805,0.40704846,18.88
0.7483263,0.7822289,2.3548574,1.1079099,0.28893602,1.816722,1.186796,1.230037,2.5577474,0.6846466,19.008
1.090205,1.216319,3.0335584,2.041215,0.47296762,2.3595362,1.396174,1.9308412,3.1105843,0.99858904,19.136
1.2179607,1.3215749,3.104143,3.597303,0.5804805,2.6293871,1.433766,2.1924496,3.1632438,1.1378297,19.264
1.1927749,1.6335926,3.2031107,3.780521,0.6230307,2.756213,1.464684,2.5169094,3.542439,1.47833,19.392
1.0351577,1.5812644,3.080779,1.3861675,0.48332852,2.3350043,1.498958,2.419564,3.2901313,1.3478836,19.52
1.1078022,1.3278456,2.9612722,2.9516776,0.56609297,2.3128839,1.386147,2.0380814,3.2649176,1.2832968,19.648
1.121411,1.5527185,3.0611603,2.5009425,0.6240424,2.3404608,1.5370084,2.270898,3.6270506,1.4212391,19.776
1.2212425,1.4319346,2.9342072,2.627527,0.75337744,2.255328,1.6470644,2.2189794,3.8537772,1.2918738,19.904
0.70777065,0.85034853,1.623749,2.134509,0.3529044,1.3503193,1.1535639,2.015216,2.6421125,0.84249324,20.032
0.36863005,0.4383353,0.77674925,1.7682292,0.1845207,0.69528484,0.5852116,1.697047,2.103719,0.5145508,20.16
0.4333566,0.42316106,0.8920711,1.6459752,0.20932007,0.7972855,0.68033123,1.5185733,2.0437484,0.47449693,20.288
0.1752731,0.17632478,0.32788464,1.4655439,0.07563242,0.34209678,0.2887012,1.2322761,1.0890071,0.2572517,20.416
0.07586218,0.073517315,0.14077187,1.9774528,0.034727212,0.16102836,0.15516177,0.82198316,0.51301336,0.13998882,20.544
0.7186251,0.6519446,1.8906131,0.81305104,0.25373998,1.5395083,0.9927743,1.4611366,2.5001352,0.5570101,20.672
0.7196473,0.57628495,2.2950385,0.69215727,0.2073209,1.8476685,1.0075225,1.0680331,2.1534202,0.4569927,20.8
0.5084703,0.46112365,2.0456932,0.49233955,0.1429626,1.461561,0.8784356,0.6135058,1.7625009,0.33822063,20.928
0.54466677,0.55813885,2.2223952,0.5400648,0.15911953,1.580886,0.9345304,0.7102212,1.8750825,0.41252628,21.056
0.94040155,1.0659053,2.8866954,1.5337799,0.37598658,2.1261792,1.2537434,1.6341349,2.9905434,0.82211137,21.184
1.2167242,1.2745113,3.0705795,3.2568212,0.57601535,2.3635697,1.3757969,2.0931244,3.2575781,0.9531532,21.312
1.1371032,1.5079927,3.083201,1.498391,0.60169804,2.2832034,1.5261077,2.5146344,3.8602235,1.0761684,21.44
1.0878631,1.2531557,2.9483633,1.8931795,0.5509142,2.2104185,1.4836637,2.1076057,3.5248425,0.895718,21.568
0.983762,1.217068,2.8701916,1.5309315,0.49609372,2.0963578,1.3366177,1.9063275,3.4653888,0.96046346,21.696
1.1117364,1.1021571,2.8992467,1.8273134,0.5249787,2.157923,1.3520495,1.813227,3.3882725,0.79492635,21.824
1.0634328,1.0836678,2.6648161,1.8867645,0.5695399,2.0320277,1.3600808,1.971598,3.6508758,0.8775097,21.952
1.1197102,1.218956,2.8452907,2.3797324,0.5920953,2.1386397,1.4298383,2.091521,3.3441951,0.97100693,22.08
1.10806,1.2030199,2.8010619,2.1570697,0.6005634,2.1072679,1.3966836,2.1039817,3.5127838,0.91617227,22.208
1.008518,1.1147089,2.7420635,1.3846198,0.47349703,2.0461426,1.3463999,2.036787,3.2378004,0.8002806,22.336
0.96831375,1.1837485,2.6983912,1.152333,0.44890678,2.0488913,1.3833166,2.1351995,3.3521798,0.90659285,22.464
1.1320679,1.15466,2.9172134,2.7529984,0.5452833,2.258354,1.4348279,2.0061204,3.1398609,0.9004841,22.592
1.1806419,1.3543164,3.0357897,2.2893634,0.6544463,2.2284007,1.6222749,2.2058718,3.6858897,1.0014411,22.72
1.2001767,1.172731,2.9474416,2.074704,0.5893615,2.1899142,1.4903821,1.9876052,3.3818402,0.8253649,22.848
0.8887888,0.80843884,2.4078228,1.3984479,0.41659728,1.8910477,1.2890751,1.4511633,3.0797179,0.64602625,22.976
0.82278085,0.8417361,2.2263618,1.222194,0.4382987,1.7477856,1.2801604,1.4775081,3.3927088,0.7292245,23.104
0.56637746,0.45486498,1.1962852,1.6303349,0.24139969,1.0129633,0.8830926,1.3430514,2.1154256,0.44659603,23.232
0.34699228,0.33814487,0.7319112,1.3557373,0.15060551,0.65169644,0.61585695,1.4310341,1.8161376,0.3787835,23.36
0.39347112,0.36187798,0.8188128,1.6845493,0.18582357,0.7191133,0.6897741,1.4114156,1.9448982,0.40575072,23.488
0.6973523,0.6753026,1.5763675,1.2412374,0.34534085,1.3062541,1.0567242,1.6012845,2.7251709,0.58864796,23.616
0.9700804,0.7032309,2.3806026,1.4361367,0.4212455,1.981282,1.2977171,1.3381269,2.9193158,0.5928735,23.744
0.8333231,0.712088,2.4325087,0.8232471,0.31728727,1.8960272,1.1796225,1.1776507,2.7441518,0.5406332,23.872
0.76393944,0.53482974,2.2061489,1.2288415,0.26263392,1.797657,1.0826436,0.78483415,2.278516,0.38319135,24.0
0.7241646,0.6693664,2.091037,0.7570777,0.29077575,1.6836531,1.1304094,1.084243,2.7046263,0.553206,24.128
0.77608335,0.6100757,1.7471927,2.1477358,0.3577904,1.4471893,1.1891382,1.3135499,2.5990965,0.55505484,24.256
0.73943686,0.69041383,1.5988047,2.0676963,0.36703238,1.3368226,1.1494998,1.6666565,2.7351005,0.7053338,24.384
0.90341306,0.95341796,2.1639888,2.1743398,0.49804276,1.7506673,1.4064276,1.7825241,3.3402963,0.8808016,24.512
0.92393607,1.0534012,2.4396505,1.2147963,0.45315775,1.8987305,1.4472069,1.8126771,3.3744314,0.9518116,24.64
1.080859,1.1132646,2.5957873,2.5349925,0.607458,2.0732145,1.8263121,1.8794777,3.630034,1.0232444,24.768
1.3735763,1.2874426,2.7997794,4.3112764,0.7935326,2.2834837,1.7777977,1.9307702,3.5965915,1.2532505,24.896
1.0772835,1.3744648,2.5778542,2.786088,0.66752285,2.0700238,1.8520987,2.1536312,3.778077,1.4007598,25.024
0.8816601,1.0079148,1.8410699,3.8693757,0.49021295,1.6229435,1.2905321,1.9495716,2.924167,1.4160602,25.152
0.6384274,0.7586847,1.3900198,3.8729706,0.3210939,1.2137109,1.1407597,1.8804961,2.39594,1.1063488,25.28
1.1052604,1.613172,2.637025,3.4891853,0.7472378,1.9947125,2.0415936,2.2453115,3.7060454,2.058235,25.408
1.3076327,2.0696552,3.150664,4.2276754,0.9509808,2.3829188,2.1344728,2.5051453,3.8639061,2.5419705,25.536
1.291912,1.9094145,3.0876434,4.962262,0.8146086,2.5888257,1.8470533,2.5165126,3.4390686,2.1332474,25.664
1.0766425,1.5756063,3.0109046,2.512919,0.5407514,2.7262766,1.8638138,2.278875,3.1999326,1.7166116,25.792
1.1217121,0.89710945,2.222213,4.7416153,0.40391502,2.4417887,1.1950963,1.4262307,2.3936331,1.3061271,25.92
0.4797126,0.7353364,1.1342001,2.1161275,0.19961534,1.1141429,0.79664,1.2580223,1.5532779,1.2004491,26.048
0.2957881,0.36493668,0.5481324,5.0701013,0.13038321,0.64120483,0.5033065,1.530934,0.99111843,0.8677429,26.176
0.64883685,1.1202223,1.6700982,5.3419914,0.346334,1.7833194,1.5413405,2.417707,2.0129704,1.8037595,26.304
1.6513821,1.9004406,3.6287642,20.544003,0.9269134,6.183259,2.1503117,2.7256773,2.9494574,3.324379,26.432
1.796644,1.6000028,3.1638398,25.361643,0.8425891,6.1721315,2.0301723,2.7381716,2.395024,3.1397228,26.56
1.4808763,1.7396997,3.7749236,13.879444,0.6197522,5.445883,2.0727007,2.4800189,2.5275185,2.420504,26.688
1.2170595,2.51974,3.6411088,4.15431,0.68964756,3.103544,3.041775,3.1207488,3.1543646,2.9297132,26.816
1.3215605,2.190086,3.5637574,4.926121,0.69634724,2.8195453,2.25954,2.8064082,3.0588927,2.5123231,26.944
1.0299325,1.9109865,3.500361,1.8428476,0.4647078,2.489871,2.1982307,2.5002265,2.9350739,1.7645254,27.072
0.85704577,1.4405622,3.0611966,1.5915272,0.311345,2.2276483,1.5318599,1.9871137,2.4445755,1.3358321,27.2
0.94776344,1.2641021,3.0758696,1.6913195,0.40819782,2.1892745,1.7899268,1.9595158,2.8368616,0.99577826,27.328
1.123775,1.2674073,3.1571398,2.3795943,0.5153124,2.3755896,1.6985464,2.0031974,2.9592972,1.0455669,27.456
0.9975519,1.1856368,2.8658683,2.008991,0.4272417,2.2180452,1.6226645,2.1623006,2.9005957,0.9775629,27.584
0.87828094,1.0579436,2.806254,1.0432894,0.3164012,2.0966792,1.4082898,1.9031407,2.6634479,0.7881102,27.712
0.88084185,0.9404618,2.8204107,0.99772716,0.29581878,2.1372468,1.4084167,1.7243402,2.4984531,0.6675163,27.84
0.86667305,0.75510246,2.5904307,0.7951541,0.30236417,2.036084,1.2410443,1.3326705,2.6312947,0.6010708,27.968
0.6853238,0.7996968,2.360554,0.54150105,0.25456557,1.7558279,1.2986412,1.3722883,2.6977692,0.60535145,28.096
0.5019617,0.3933995,1.1602875,1.471987,0.18399525,0.96326685,0.7080272,1.1364876,1.667896,0.37852448,28.224
0.3244782,0.2817229,0.69874245,1.2388779,0.11817595,0.6123581,0.5218692,1.2504586,1.3703928,0.3008793,28.352
0.68734264,0.5627817,1.8467273,1.2039444,0.26897654,1.4530529,1.032074,1.0225275,2.4458318,0.4717486,28.48
0.786584,0.7362586,2.3791997,0.8110679,0.30382034,1.7818487,1.3089702,1.1403446,2.7175462,0.5168017,28.608
